parent_company,name,postal_code,address,latitude,longitude,stars_fair,stars,review_count,categories,RestaurantsReservations,RestaurantsPriceRange2,NoiseLevel,OutdoorSeating,ByAppointmentOnly,DietaryRestrictions,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Takoyaki Enterprises Ltd,Toshi Sushi,V5T 4R2,181 East 16th Avenue,49.256699,-123.101936,3.987951807228916,4.0,410,"Sushi Bars, Restaurants, Japanese",False,2.0,u'average',False,,,,16:0-20:0,16:0-20:0,16:0-20:0,16:0-20:0,16:0-20:0,
Chinatown Garden BBQ Restaurant Inc,Chinatown BBQ,V6A 1T3,130 E Pender Street,49.280294,-123.1015,4.455089820359281,4.5,162,"Barbeque, Chinese, Cantonese, Restaurants",False,2.0,u'average',False,False,,0:0-0:0,11:0-19:0,11:0-19:0,11:0-18:0,11:0-19:0,11:0-19:0,11:0-19:0
Flying Fish Holdings Ltd,Ophelia,V5Y 1B8,165 W 2nd Avenue,49.2694703,-123.1080946,3.3684210526315788,3.5,14,"Mexican, Restaurants",True,,,True,,,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-22:0
China Noodle Restaurant (Joyce) Ltd,Kung Fu Noodle,V5R 4J9,5615 Harold Street,49.2334900862,-123.0352291528,3.8333333333333335,4.0,25,"Restaurants, Chinese, Noodles",,,,,,,11:0-21:30,11:0-21:30,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
1125352 BC Ltd,Tocador,V5T 3E6,2610 Main Street,49.2618238,-123.1007894,3.4324324324324325,3.5,32,"Cuban, Restaurants, Latin American, Cocktail Bars, Nightlife, Bars",True,2.0,,True,,,0:0-0:0,,17:0-22:0,19:30-22:0,17:0-22:0,11:0-22:0,11:0-22:0
Northland Properties Corporation,Denny's,V6E 1M3,1098 Davie St,49.280232749300005,-123.1312241405,2.5294117647058822,2.5,80,"Breakfast & Brunch, American (Traditional), Canadian (New), Diners, Restaurants",False,2.0,u'quiet',True,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Zi Fei Company Ltd,Laura's Coffee Shop,V5Y 3A1,1945 Manitoba St,49.2675473,-123.106822,3.272727272727273,3.5,6,"Coffee & Tea, Food",,1.0,,False,,,,,,,,,
1161845 BC Ltd,Oriole Cafe,V6P 6G5,1200 73rd Avenue W,49.2040408408,-123.1342092769,3.5,4.0,5,"Caterers, Sandwiches, Event Planning & Services, Cafes, Restaurants, Asian Fusion",True,,u'average',True,,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,
Juan De Fuca Coffee Company Limited,Bonus Bakery,V6E 4E6,1185 Georgia Street W,49.287266,-123.124725,3.6666666666666665,4.0,10,"Food, Restaurants, Bakeries, Vegan",,,,,,,0:0-0:0,9:0-14:0,9:0-14:0,9:0-14:0,9:0-14:0,,
Park Drive Venue GP Inc,Park Drive,V5N 4A6,1815 Commercial Drive,49.2683974296,-123.0698333681,3.0,3.0,14,"Restaurants, Tapas/Small Plates, Sports Bars, Nightlife, Bars",True,,,True,,,,15:0-1:0,15:0-1:0,15:0-1:0,15:0-1:0,13:0-1:0,13:0-1:0
Grounds for Coffee Inc, Grounds For Coffee,V5N 4B2,2088 Commercial Drive,49.2660926,-123.0694748,3.84375,4.0,27,"Food, Bakeries, Coffee & Tea",,2.0,u'average',True,,,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0
Dhanti Investments Ltd,Subway,V6B 6A1,260 Robson Street,49.2784996,-123.115715,2.357142857142857,2.0,9,"Restaurants, Sandwiches, Fast Food",False,1.0,,,,,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,8:0-22:0,9:0-22:0
Sprezzatura Restaurant Kingsway Ltd,Sprezzatura,V5T 3J5,265 Kingsway,49.2612756,-123.0978145,3.871794871794872,4.0,34,"Pizza, Salad, Cafes, Italian, Restaurants",False,,,True,,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:30,10:0-23:0,10:0-23:0,10:0-22:0
SS9 Investments Inc,White Spot,V6Z 2W6,718 Drake Street,49.276139219,-123.128192383,3.0,3.0,71,"American (Traditional), Canadian (New), Burgers, Restaurants, Breakfast & Brunch",True,2.0,u'loud',False,,,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-0:0,7:0-0:0,7:0-23:0
Hoya Enterprise Inc,Sun Sushi,V6R 2J1,4512 W 10th Ave,49.2636959,-123.2095971,3.4671052631578947,3.5,71,"Sushi Bars, Japanese, Restaurants",True,1.0,u'average',False,,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:30
1199842 BC Ltd,Subway,V6H 1G6,1288 W Broadway,49.263344200000006,-123.1329176,2.0357142857142856,1.5,9,"Sandwiches, Fast Food, Salad, Restaurants",,,u'quiet',,,,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,10:0-21:0,10:0-21:0
1191058 BC Ltd,Sushi California,V6E 4A6,100-1100 Melville Street,49.2866882899,-123.123021,3.2916666666666665,3.5,7,"Sushi Bars, Restaurants, Japanese",,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,12:0-21:0
Lavi International Trading Inc,Gong Cha Renfrew,V5M 4T5,2887 E 12th Avenue,49.25934,-123.045194,3.25,3.5,5,"Food, Bubble Tea",,,,,,,,,,,,,
Akshay Food & Spices Ltd,Akbar's Own Dining Lounge,V6J 1Z3,1905 W Broadway,49.2640234,-123.1484033,3.473958333333333,3.5,91,"Restaurants, Pakistani, Indian, Nightlife",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-22:0,12:0-22:0
Los Chaparritos Brunch Inc,Brunch,V6Z 1M1,1147 Granville Street,49.2778708,-123.1256128,3.642857142857143,4.0,9,"Bars, Nightlife, Restaurants, Cocktail Bars, Mexican, Breakfast & Brunch",,,,True,,,0:0-0:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0,9:0-15:0
Kaisereck Delicattessen Inc,Kaisereck Deli,V6H 3R9,114 - 1689 Johnston St,49.2727209,-123.1355203,3.0,3.0,44,"Delis, Hot Dogs, Sandwiches, Restaurants",False,1.0,u'loud',True,,,,,,,,,
Popina Foods Inc,Popina Canteen,V6H 3R9,1691 Johnston St,49.2729844,-123.1355232,3.0,3.0,59,"Restaurants, Burgers, Fast Food, Seafood",False,,u'average',True,,,,,,,,,
631644 British Columbia Ltd,Tutto,V6B 2W6,901 Homer St,49.2784079,-123.1187385,4.285714285714286,5.0,9,"Restaurants, Italian, Nightlife, Bars",,,,,,,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,17:0-22:30,
Always Amazing Food Ltd,Browns Crafthouse,V5T 2T4,202 East 16th Avenue,49.2565942,-123.1006208,3.736842105263158,4.0,14,"Bars, Nightlife, Restaurants",,,,True,,,0:0-0:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0
1214485 BC Ltd,Twisted Fork,V6B 2J2,213 Carral Street,49.283194,-123.104445,3.995178399228544,4.0,1032,"Restaurants, American (New), Breakfast & Brunch, French",False,2.0,u'average',True,,,0:0-0:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0
Hanoi House Vietnamese Restaurant Ltd,Got Pho,V5N 5E6,2523 Nanaimo Street,49.2618062,-123.0568336,3.45,3.5,45,"Restaurants, Vietnamese",False,1.0,u'quiet',False,,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
Hawksworth Holdings Inc,Hawksworth Restaurant,V6C 1P7,801 W Georgia Street,49.2833971,-123.11917040000002,3.991039426523298,4.0,553,"Restaurants, Canadian (New), Event Planning & Services, Venues & Event Spaces, Caterers",True,4.0,u'average',True,,,7:0-22:30,7:0-22:30,7:0-22:30,7:0-22:30,7:0-23:0,7:0-23:0,7:0-22:30
Beeryani Indian Bistro & Bar Ltd,Beeryani Indian Bistro & Bar,V6G 2M9,"1184 Denman Street, Unit 202",49.2872573,-123.14123,4.083333333333333,4.5,13,"Bistros, Indian, Restaurants",True,,,True,,,11:0-23:30,11:0-23:30,11:0-23:30,11:0-23:30,11:0-23:30,11:0-23:30,11:0-23:30
Pattison Food Group Ltd,Urban Fare,V6Z 2Y1,177 Davie Street,49.2735448943,-123.1205606461,3.4817518248175183,3.5,132,"Florists, Grocery, Flowers & Gifts, Food, Specialty Food, Shopping",,3.0,,,,,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0
1093102 BC Ltd,Big Bang Sushi,V6G 2M7,1103 Denman St,49.2883087716,-123.1405025348,3.615384615384616,4.0,8,"Sushi Bars, Restaurants, Japanese",,,,,,,,,,,,,
Mizu Sushi Restaurant Inc,Mogu Fried Chicken,V5L 3W9,1012 Commercial Drive,49.2756074484,-123.0693264306,4.0588235294117645,4.5,12,"Chicken Shop, Japanese, Restaurants, Food Trucks, Food",,,,,,,,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0
4210 Main Restaurant Ltd,The Main,V5V 3P9,4210 Main Street,49.2474396,-123.1009578,3.0,3.0,94,"Beer Bar, Pubs, Mediterranean, Pizza, Nightlife, Burgers, Restaurants, Bars",True,2.0,u'average',True,,,12:0-1:0,12:0-1:0,12:0-1:0,12:0-1:0,12:0-1:0,11:0-1:0,11:0-23:0
Oddfish Kits GP Inc,Oddfish,V6J 5B8,1889 W 1st Avenue,49.270894,-123.147586,3.925373134328358,4.0,62,"Restaurants, Seafood",True,3.0,u'average',,,,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30
1267672 BC Ltd,Open Outcry,V6C 1K6,811 West Pender,49.2855394,-123.1159863,4.03125,4.5,11,"Canadian (New), Restaurants",True,,,,,,,,12:0-21:0,12:0-21:0,12:0-21:0,,
1459071 BC Ltd,Harbour Oyster + Bar,V5L 3X9,1408 Commercial Drive,49.2718946139,-123.0691815913,3.886363636363636,4.0,39,"Fish & Chips, Nightlife, Seafood, Bars, Restaurants, Cocktail Bars",False,2.0,,,False,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:0,11:0-1:0
Floata Seafood Restaurant (Chinatown) Ltd,Floata Seafood Restaurant,V6A 4E9,180 Keefer Street,49.279104700000005,-123.1007624,2.513227513227513,2.5,184,"Seafood, Restaurants, Chinese, Dim Sum",True,2.0,u'average',False,,,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
MEHMI ENTERPRISES Ltd,Handi Grill,V6R 2B7,3618 W Broadway,49.2642143,-123.1840811,3.4603174603174605,3.5,58,"Restaurants, Indian",True,2.0,u'average',False,,,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,12:0-22:0,12:0-22:0
1479986 BC Ltd,Vera's Burger Shack,V5L 3X9,1438 Commercial Drive,49.2716434,-123.0694547,2.15625,2.0,27,"Restaurants, Burgers",False,2.0,u'average',False,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-22:0
Tractor Everyday Healthy Foods Ltd,Tractor,V6J 1M7,1903 W 4th Avenue,49.2682032,-123.1481767,3.483552631578948,3.5,147,"Sandwiches, Food, Fruits & Veggies, Restaurants, Salad, Soup, Vegetarian, Specialty Food",False,2.0,u'average',True,,,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
Pizza Carano Restaurant Corp,Pizza Carano,V5V 4G1,4241 Fraser Street,49.24721629999999,-123.090345,4.444444444444445,4.5,130,"Pizza, Restaurants, Italian",False,2.0,'average',True,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0,17:0-22:0
