YEAR;CULTURAL_SPACE_NAME;WEBSITE;TYPE;PRIMARY_USE;ADDRESS;LOCAL_AREA;OWNERSHIP;SQUARE_FEET;NUMBER_OF_SEATS;ACTIVE_SPACE;Geom;geo_point_2d
2017;AHVA Gallery;http://gallery.ahva.ubc.ca/about/;Museum/Gallery;Museum/Gallery;6398 University Blvd, Vancouver, BC,;UBC;Other;1990;;Yes;"{""coordinates"": [-123.2549451, 49.2639124], ""type"": ""Point""}";49.2639124, -123.2549451
2017;Beaty Biodiversity Museum;http://www.beatymuseum.ubc.ca/about;Museum/Gallery;Museum/Gallery;2212 Main Mall, Vancouver, BC, V6T 1Z4;UBC;Other;20000;;Yes;"{""coordinates"": [-123.251485, 49.2634318], ""type"": ""Point""}";49.2634318, -123.251485
2017;Douglas Udell Gallery;www.douglasudellgallery.com?;Museum/Gallery;Museum/Gallery;1558 W 6th Av, Vancouver, BC, V6J 1R2;Fairview;Privately Owned;;;Yes;"{""coordinates"": [-123.1399725, 49.2661804], ""type"": ""Point""}";49.2661804, -123.1399725
2017;Federation Gallery;http://artists.ca/federation_gallery;Museum/Gallery;Museum/Gallery;1241 Cartwright St, Vancouver, BC, V6H 4B7;Fairview;Privately Owned;1200;;Yes;"{""coordinates"": [-123.13225, 49.269582], ""type"": ""Point""}";49.269582, -123.13225
2017;Granville Island;;Community Space;Plaza/Park/Band Shell;Granville Island, Vancouver, BC;Fairview;Government;;;Yes;"{""coordinates"": [-123.134845, 49.269463], ""type"": ""Point""}";49.269463, -123.134845
2017;Hastings Mill Store Museum;www.hastings-mill-museum.ca?;Museum/Gallery;Museum/Gallery;1575 Alma St, Vancouver, BC, V6R 3P3;West Point Grey;City of Vancouver;2000;;Yes;"{""coordinates"": [-123.185988, 49.272817], ""type"": ""Point""}";49.272817, -123.185988
2017;Inuit Gallery of Vancouver;www.inuit.com;Museum/Gallery;Museum/Gallery;206 Cambie St, Vancouver, BC, V6B 2M9;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1088083, 49.2842455], ""type"": ""Point""}";49.2842455, -123.1088083
2017;John Hendry Park (Trout Lake);;Community Space;Plaza/Park/Band Shell;3300 Victoria Dr, Vancouver, BC, V5N 4L9;Kensington-Cedar Cottage;Vancouver Park Board/COV;160565;;Yes;"{""coordinates"": [-123.06391, 49.25716], ""type"": ""Point""}";49.25716, -123.06391
2017;Larwill Park;https://en.wikipedia.org/wiki/Larwill_Park;Community Space;Plaza/Park/Band Shell;688 Cambie St, Vancouver, BC, V6B 1T9;Downtown;City of Vancouver;;;Yes;"{""coordinates"": [-123.111836, 49.28042], ""type"": ""Point""}";49.28042, -123.111836
2017;Remington Gallery and Studio;https://www.facebook.com/Remington.Gallery.and.Studio;Museum/Gallery;Museum/Gallery;108 E Hastings St, Vancouver, BC, V6A 4J1;Downtown;Privately Owned;;;Yes;"{""coordinates"": [-123.1019396, 49.281336], ""type"": ""Point""}";49.281336, -123.1019396
